Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.33066907387547E-16,-1.52308721190764E-15,8.67361737988404E-19,0,0,0,0.001,1.66666666666667E-08,-5.88864363539083E-25,-1.50348348137638E-25,1.66666666666667E-08,-1.41172157875713E-26,1.66666666666667E-08,0,0,0,0,0,0,package://newdog6/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://newdog6/meshes/base_link.STL,,baselink-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
trunk_link,-0.000914596355784433,-0.00588588083227733,-0.010166690928992,0,0,0,2.24927620754806,0.00378353466839069,2.17502742751796E-07,1.29964488379462E-06,0.00548992390617239,7.45178490403872E-08,0.00783330223774374,0,0,0,0,0,0,package://newdog6/meshes/trunk_link.STL,0,1,1,1,0,0,0,0,0,0,package://newdog6/meshes/trunk_link.STL,,硬件——保险丝-2;硬件——保险丝-4;打印件——保险丝固定块-4;硬件——保险丝-3;前左腿-1/电机-RS02关节电机-3;Mirror前左腿-3/Mirror电机-RS02关节电机-3;打印件——保险丝固定块-1;打印件——保险丝固定块-3;打印件——保险丝固定块-2;打印件——imu固定块-1;打印件——minipc顶盖-1;硬件——minipc-3;玻纤板——电机屁股固定板-1;玻纤板——电机屁股固定板-6;玻纤板——电机屁股固定板-5;硬件——电容组-7;硬件——保险丝-1;打印件——小电脑固定壳-1;硬件——miniipc电池-1;打印件——缓冲电容垫块-6;打印件——缓冲电容垫块-3;打印件——缓冲电容垫块-4;玻纤板——侧整体板-8;玻纤板——侧整体板-7;打印件——2号电池固定壳-1;打印件——2号电池固定上板-1;硬件——电容组-5;硬件——电容组-4;打印件——缓冲电容垫块-5;硬件——电容组-6;玻纤板——狗肚竖梁管连接件-4;玻纤板——狗肚子铝方管夹板-3;玻纤板——狗肚横竖梁连接-4;玻纤板——狗肚横竖梁连接-3;玻纤板——狗肚子铝方管夹板-4;玻纤板——狗肚子铝方管夹板-2;铝方管——下宽-2;玻纤板——侧整体板-3;玻纤板——侧整体板-1;铝方管——狗肚管-1;玻纤板——狗肚子铝方管夹板-1;玻纤板——上下角转接件-4;铝方管——高-8;玻纤板——上下角转接件-7;玻纤板——上下角转接件-5;玻纤板——上下角转接件-3;铝方管——宽-5;铝方管——高-5;碳板——前后板-1;铝方管——长-8;铝方管——长-9;碳板——前后板-2;铝方管——宽-1;铝方管——高-4;玻纤板——上下角转接件-1;玻纤板——上下角转接件-2;玻纤板——上下角转接件-6;玻纤板——上下角转接件-8;铝方管——高-7;铝方管——下长管-2;铝方管——下长管-3;玻纤板——侧整体板-2;玻纤板——侧整体板-4;铝方管——狗肚竖梁-1;铝方管——下宽-1;打印件——狗肚竖梁垫块-2;玻纤板——狗肚竖梁管连接件-3;玻纤板——狗肚竖梁管连接件-5;玻纤板——侧整体板-5;pom板——狗肚大板子-1;玻纤板——侧整体板-6;打印件——方管垫块——长-1;Mirror后左腿-2/Mirror电机-RS02关节电机-3;后左腿-1/电机-RS02关节电机-3;玻纤板——电机屁股固定板-2;玻纤板——狗肚竖梁管连接件-2;打印件——狗肚竖梁垫块-1,base_link,Axis_trunk_joint,trunk_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
FL_hip_link,-0.0276629050724052,0.016035850006277,-4.34859680496094E-05,0,0,0,0.540734293284771,0.000321578260132045,-4.63459143847028E-05,-3.39011232172304E-07,0.000492717394418971,-9.1053866035905E-08,0.000350015497847488,0,0,0,0,0,0,package://newdog6/meshes/FL_hip_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://newdog6/meshes/FL_hip_link.STL,,前左腿-1/CNC-髋关节二级轴系外下档件（板配合版）-1;前左腿-1/标准件-深沟球轴承45-55-6-2;前左腿-1/CNC-髋关节二级轴系输出中部-1;前左腿-1/CNC-髋关节二级轴系输出盘下部-1;前左腿-1/钣金件-髋关节与大腿连接板-1;前左腿-1/电机-RS02关节电机-2;前左腿-1/轴承外端上盖-1;前左腿-1/CNC-大腿小腿二级轴系外下档件（板配合版）-1;前左腿-1/标准件-深沟球轴承45-55-6-1;前左腿-1/CNC-输出盘下部-1,FL_hip_link,FL_hip_joint,FL_hip_joint,revolute,0.219736600000002,0.0625499999999842,0,0,0,0,trunk_link,1,0,0,100,100,-3.14,3.14,,,,,,,,
FL_thigh_link,-0.00210612954326371,-0.017979133783313,-0.0414558494179686,0,0,0,0.487861310040597,0.00168198524095325,-8.85762304436318E-08,-4.47453100758387E-05,0.00192667720321728,-3.82168871901987E-07,0.000262924946125532,0,0,0,0,0,0,package://newdog6/meshes/FL_thigh_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://newdog6/meshes/FL_thigh_link.STL,,前左腿-1/CNC-输出中部2.0-1;前左腿-1/标准件-M4x45-7铝柱-4;前左腿-1/标准件-M4x45-7铝柱-3;前左腿-1/标准件-M4x45-7铝柱-1;前左腿-1/标准件-M4x45-7铝柱-2;前左腿-1/标准件-铝柱M4-D7-30-7;前左腿-1/电机-RS02关节电机-1;前左腿-1/标准件-铝柱M4-D7-30-6;前左腿-1/标准件-铝柱M4-D7-30-5;前左腿-1/标准件-铝柱M4-D7-30-4;前左腿-1/标准件-铝柱M4-D7-30-3;前左腿-1/标准件-铝柱M4-D7-30-2;前左腿-1/标准件-铝柱M4-D7-30-1;前左腿-1/碳纤板-大腿板7.0非电机侧固定板-1;前左腿-1/标准件-四氟垫片10-18-5-2;前左腿-1/标准件-四氟垫片14-6-2-1;前左腿-1/标准件-四氟垫片14-6-2-2;前左腿-1/标准件-四氟垫片10-18-5-1;前左腿-1/3D打印-小腿右限位块-1;前左腿-1/玻纤-小腿左限位板-1;前左腿-1/CNC-连杆固定件上部2.0-1;前左腿-1/CNC-连杆固定件下部2.0-1;前左腿-1/鱼眼轴承连杆-1;前左腿-1/碳纤板-大腿板7.0电机侧固定板-1;前左腿-1/标准件-四氟垫片10-18-5-3;前左腿-1/标准件-四氟垫片10-18-5-4,FL_thigh_link,FL_thigh_joint,FL_thigh_joint,revolute,0,0.113000000000016,4.99999999798882E-05,0,0,0,FL_hip_link,0,1,0,100,100,-3.14,3.14,,,,,,,,
FL_calf_link,0.029709682929484,0,-0.0541898203319179,0,0,0,0.172140909879394,0.000402222927298829,3.98773456997545E-20,0.000206662586803665,0.000532650970898057,-1.10072007614724E-19,0.000131861193877818,0,0,0,0,0,0,package://newdog6/meshes/FL_calf_link.STL,1,1,1,1,0,0,0,0,0,0,package://newdog6/meshes/FL_calf_link.STL,,前左腿-1/标准件-四氟垫片14-6-2-4;前左腿-1/CNC-小腿板左侧板6.0-4;前左腿-1/标准件-四氟垫片14-6-2-3;前左腿-1/CNC-小腿板右侧板6.0-1;前左腿-1/CNC-小腿板6.0-1,FL_calf_link,FL_calf_joint,FL_calf_joint,revolute,0,0,-0.22,0,0,0,FL_thigh_link,0,1,0,100,100,-3.14,3.14,,,,,,,,
FL_foot_link,-0.000434487403069644,-4.88152118440777E-05,0.00143083743856554,0,0,0,0.101233051130057,3.68410800236975E-05,-1.32089570524453E-09,-6.96986581522135E-07,3.69275996251706E-05,-5.66781233040624E-09,3.89840088985895E-05,0,0,0,0,0,0,package://newdog6/meshes/FL_foot_link.STL,1,1,1,1,0,0,0,0,0,0,package://newdog6/meshes/FL_foot_link.STL,,前左腿-1/球型足端适配感-1,FL_foot_link,Axis_FL_foot_joint2,FL_foot_joint,fixed,0.0973276095561573,0,-0.192474513805197,0,0,0,FL_calf_link,0,0,0,,,,,,,,,,,,
FR_hip_link,-0.0276628528131069,-0.0160358508109809,-4.34381982263978E-05,0,0,0,0.540734254929043,0.000321576558310126,4.63458779309572E-05,-3.38745253822712E-07,0.000492716407009669,9.11306303865892E-08,0.000350016209537742,0,0,0,0,0,0,package://newdog6/meshes/FR_hip_link.STL,1,1,1,1,0,0,0,0,0,0,package://newdog6/meshes/FR_hip_link.STL,,Mirror前左腿-3/MirrorCNC-髋关节二级轴系外下档件（板配合版）-1;Mirror前左腿-3/MirrorCNC-髋关节二级轴系输出中部-1;Mirror前左腿-3/Mirror标准件-深沟球轴承45-55-6-2;Mirror前左腿-3/MirrorCNC-髋关节二级轴系输出盘下部-1;Mirror前左腿-3/Mirror钣金件-髋关节与大腿连接板-1;Mirror前左腿-3/Mirror电机-RS02关节电机-2;Mirror前左腿-3/Mirror轴承外端上盖-1;Mirror前左腿-3/MirrorCNC-大腿小腿二级轴系外下档件（板配合版）-1;Mirror前左腿-3/Mirror标准件-深沟球轴承45-55-6-1;Mirror前左腿-3/MirrorCNC-输出盘下部-1,FR_hip_link,FR_hip_joint,FR_hip_joint,revolute,0.219736600000002,-0.0625499999999764,0,0,0,0,trunk_link,1,0,0,100,100,-3.14,3.14,,,,,,,,
FR_thigh_link,-0.00209533874610202,0.0179687463771217,-0.0414935976624587,0,0,0,0.485004086475619,0.00166042058346981,8.8647846368031E-08,-4.40687445365842E-05,0.00190279128602525,3.82214619041451E-07,0.000260595296024358,0,0,0,0,0,0,package://newdog6/meshes/FR_thigh_link.STL,1,1,1,1,0,0,0,0,0,0,package://newdog6/meshes/FR_thigh_link.STL,,Mirror前左腿-3/MirrorCNC-输出中部2.0-1;Mirror前左腿-3/Mirror标准件-M4x45-7铝柱-4;Mirror前左腿-3/Mirror标准件-M4x45-7铝柱-3;Mirror前左腿-3/Mirror标准件-M4x45-7铝柱-2;Mirror前左腿-3/Mirror标准件-M4x45-7铝柱-1;Mirror前左腿-3/Mirror标准件-铝柱M4-D7-30-7;Mirror前左腿-3/Mirror标准件-铝柱M4-D7-30-6;Mirror前左腿-3/Mirror标准件-铝柱M4-D7-30-5;Mirror前左腿-3/Mirror标准件-铝柱M4-D7-30-4;Mirror前左腿-3/Mirror标准件-铝柱M4-D7-30-3;Mirror前左腿-3/Mirror标准件-铝柱M4-D7-30-2;Mirror前左腿-3/Mirror标准件-铝柱M4-D7-30-1;Mirror前左腿-3/Mirror碳纤板-大腿板7.0非电机侧固定板-1;Mirror前左腿-3/Mirror标准件-四氟垫片10-18-5-2;Mirror前左腿-3/Mirror标准件-四氟垫片10-18-5-1;Mirror前左腿-3/Mirror标准件-四氟垫片14-6-2-4;Mirror前左腿-3/Mirror标准件-四氟垫片14-6-2-3;Mirror前左腿-3/Mirror标准件-四氟垫片14-6-2-2;Mirror前左腿-3/Mirror标准件-四氟垫片14-6-2-1;Mirror前左腿-3/Mirror电机-RS02关节电机-1;Mirror前左腿-3/Mirror3D打印-小腿右限位块-1;Mirror前左腿-3/Mirror玻纤-小腿左限位板-1;Mirror前左腿-3/MirrorCNC-连杆固定件上部2.0-1;Mirror前左腿-3/MirrorCNC-连杆固定件下部2.0-1;Mirror前左腿-3/Mirror鱼眼轴承连杆-1;Mirror前左腿-3/Mirror碳纤板-大腿板7.0电机侧固定板-1;Mirror前左腿-3/Mirror标准件-四氟垫片10-18-5-3;Mirror前左腿-3/Mirror标准件-四氟垫片10-18-5-4,FR_thigh_link,FR_thigh_joint,FR_thigh_joint,revolute,0,-0.112999999999979,4.99999999777215E-05,0,0,0,FR_hip_link,0,-1,0,100,100,-3.14,3.14,,,,,,,,
FR_calf_link,0.0297992449880842,2.48412401759879E-14,-0.0544216887469687,0,0,0,0.17163825505482,0.000402215471252908,8.19239678672519E-20,0.000206662586803248,0.000532636393908141,-1.57680477087308E-19,0.000131853737830607,0,0,0,0,0,0,package://newdog6/meshes/FR_calf_link.STL,1,1,1,1,0,0,0,0,0,0,package://newdog6/meshes/FR_calf_link.STL,,Mirror前左腿-3/MirrorCNC-小腿板右侧板6.0-1;Mirror前左腿-3/MirrorCNC-小腿板6.0-1;Mirror前左腿-3/MirrorCNC-小腿板左侧板6.0-1,FR_calf_link,FR_calf_joint,FR_calf_joint,revolute,0,0,-0.219999999999998,0,0,0,FR_thigh_link,0,-1,0,100,100,-3.14,3.14,,,,,,,,
FR_foot_link,-0.000434485186400074,4.88181155063883E-05,0.00143083744492206,0,0,0,0.267969841605969,9.75205010000626E-05,3.53532253502499E-09,-1.84496382885798E-06,9.77495367230641E-05,1.50028867017851E-08,0.000103192964296048,0,0,0,0,0,0,package://newdog6/meshes/FR_foot_link.STL,1,1,1,1,0,0,0,0,0,0,package://newdog6/meshes/FR_foot_link.STL,,Mirror前左腿-3/Mirror球型足端适配感-1,FR_foot_link,Axis_FR_foot_joint2,FR_foot_joint,fixed,0.0973276004566032,0,-0.19247451379526,0,0,0,FR_calf_link,0,0,0,,,,,,,,,,,,
